run_id,dataset,method,noise,seed,found_eq,r2,time_s,status
bacon3_S-1_N0.1_S47,S-1,bacon3,0.1,47,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.1_S48,S-1,bacon3,0.1,48,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.1_S49,S-1,bacon3,0.1,49,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.1_S50,S-1,bacon3,0.1,50,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon3_S-1_N0.1_S51,S-1,bacon3,0.1,51,Failed to find a simple closing relation.,0.0000,0.00,Failed
bacon7_S-1_N0.1_S42,S-1,bacon7,0.1,42,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.1_S43,S-1,bacon7,0.1,43,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.1_S44,S-1,bacon7,0.1,44,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.1_S45,S-1,bacon7,0.1,45,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.1_S46,S-1,bacon7,0.1,46,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.1_S47,S-1,bacon7,0.1,47,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.1_S48,S-1,bacon7,0.1,48,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.1_S49,S-1,bacon7,0.1,49,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.1_S50,S-1,bacon7,0.1,50,No law found,0.0000,0.00,Failed
bacon7_S-1_N0.1_S51,S-1,bacon7,0.1,51,No law found,0.0000,0.00,Failed
bacon3_S-2_N0.0_S42,S-2,bacon3,0.0,42,y = 1 * (x1*x2) + 0,1.0000,0.05,Success
bacon3_S-2_N0.0_S43,S-2,bacon3,0.0,43,y = 1 * (x1*x2) + 0,1.0000,0.04,Success
bacon3_S-2_N0.0_S44,S-2,bacon3,0.0,44,y = 1 * (x1*x2) + 0,1.0000,0.03,Success
bacon3_S-2_N0.0_S45,S-2,bacon3,0.0,45,y = 1 * (x1*x2) + 0,1.0000,0.03,Success
bacon3_S-2_N0.0_S46,S-2,bacon3,0.0,46,y = 1 * (x1*x2) + 0,1.0000,0.04,Success
bacon3_S-2_N0.0_S47,S-2,bacon3,0.0,47,y = 1 * (x1*x2) + 0,1.0000,0.03,Success
bacon3_S-2_N0.0_S48,S-2,bacon3,0.0,48,y = 1 * (x1*x2) + 0,1.0000,0.03,Success
bacon3_S-2_N0.0_S49,S-2,bacon3,0.0,49,y = 1 * (x1*x2) + 0,1.0000,0.04,Success
bacon3_S-2_N0.0_S50,S-2,bacon3,0.0,50,y = 1 * (x1*x2) + 0,1.0000,0.03,Success
bacon3_S-2_N0.0_S51,S-2,bacon3,0.0,51,y = 1 * (x1*x2) + 0,1.0000,0.03,Success
bacon7_S-2_N0.0_S42,S-2,bacon7,0.0,42,y/(x1*x2) = 1,1.0000,0.04,Success
bacon7_S-2_N0.0_S43,S-2,bacon7,0.0,43,y/(x1*x2) = 1,1.0000,0.00,Success
bacon7_S-2_N0.0_S44,S-2,bacon7,0.0,44,y/(x1*x2) = 1,1.0000,0.00,Success
